"track","race","place","rug","name","trainer","time","margin","split","inRun","weight","sire","dam","sp"
"Bendigo (VIC)","Race 8","SCR","","PAW KRAMER","Samantha Grenfell","","","","","","Fernando Bale","Xamira Bale",""
"Bendigo (VIC)","Race 9","1","","PAW TONK (7)","Daniel Gibbons","23.75","0.00","6.61","M321","35.8kg","Tiggerlong Tonk","Dyna Zesty","$2.20"
"Bendigo (VIC)","Race 9","2","","GREYSYND SAMMY (8)","Michael Chilcott","23.83","1.14","6.70","M554","35.4kg","Black Magic Opal","It's A Wish","$12.00"
"Bendigo (VIC)","Race 9","3","","PYRENEES ACE (1)","Hazelie Robinson","24.09","4.84","6.52","Q112","28.5kg","Tommy Shelby","Coco Nova","$4.40"
"Bendigo (VIC)","Race 9","4","","LEVI DESIGN (4)","Roger Bloomfield","24.12","5.27","6.63","M433","33.1kg","Feral Franky","Escalation","$8.50"
"Bendigo (VIC)","Race 9","5","","PRISON BREAK (5)","Daniel Gibbons","24.19","6.23","6.75","M665","34.1kg","Allen Deed","Elanda Bale","$6.00"
"Bendigo (VIC)","Race 9","6","","FLOOD WARNING (2)","Daniel Pell","24.27","7.50","6.77","S777","36.0kg","Zambora Brockie","Let It Rain","$26.00"
"Bendigo (VIC)","Race 9","7","","PAW RIVAL (3)","Samantha Grenfell","24.33","8.30","6.61","Q246","31.7kg","Bernardo","Faithy Bale","$10.00"
"Bendigo (VIC)","Race 9","8","","ASTON SHEKEL (6)","Darren Archer","24.62","12.39","6.84","S888","29.7kg","Aston Rupee","Fire On Ice","$7.50"
"Bendigo (VIC)","Race 9","SCR","","KING RON","Mark Johnson","","","","","","Koblenz","Mepunga Gem",""
"Bendigo (VIC)","Race 9","SCR","","LEKTRA BETA","Philip Lenehan","","","","","","Tommy Shelby","Lektra Perry",""
"Bendigo (VIC)","Race 10","1","","SNOWBALL ONE (1)","Billy McRae","23.99","0.00","6.54","M111","26.2kg","Beast Unleashed","Spun Out","$1.95"
"Bendigo (VIC)","Race 10","2","","SOFIA RIOT (8)","John Caulfield","24.06","1.07","6.70","M332","25.5kg","Fernando Bale","Blue Sky Riot","$4.40"
"Bendigo (VIC)","Race 10","3","","FLUENT ACTION (5)","Malcolm Davis","24.28","4.21","6.63","M223","23.8kg","Tommy Shelby","Sapphire Ruby","$3.20"
"Bendigo (VIC)","Race 10","4","","ONE KNEE NONI (2)","Jordan Formosa","24.35","5.20","6.75","S444","30.6kg","Shima Shine","Lilly Patch","$26.00"
"Bendigo (VIC)","Race 10","5","","ASTON OPHELIA (7)","Mark Johnson","24.40","5.93","6.76","M555","28.2kg","Fernando Bale","Aston Crystal","$5.50"
"Bendigo (VIC)","Race 10","6","","SUGAR BOWL ROSE (6)","Aroha Hemingway","24.47","6.87","6.84","M766","29.3kg","Feral Franky","Little Tubbsy","$26.00"
"Bendigo (VIC)","Race 10","7","","DELIGHTFUL (4)","Kevin Ashton","25.09","15.84","6.83","S677","26.7kg","Bernardo","Absolute Delight","$41.00"
"Bendigo (VIC)","Race 10","SCR","","MISCLASSIFIED","Aaron Debattista","","","","","","Koblenz","Miss World",""
"Bendigo (VIC)","Race 10","SCR","","HIGHLAND SAL","Margaret Salvatore","","","","","","Aston Rupee","Invictus Reign",""
"Bendigo (VIC)","Race 10","SCR","","LISSY LOULOU","Arron Rocke","","","","","","Superior Panama","Oriental Amber",""
"Bendigo (VIC)","Race 11","1","","FIELD DAY (8)","Jason Thompson","23.84","0.00","6.58","M322","39.9kg","Hooked On Scotch","Magical Mia","$2.00"
"Bendigo (VIC)","Race 11","2","","MAGNET MOVER (7)","Terry Meyer","24.05","3.01","6.58","M111","31.3kg","Flying Ricciardo","Veloce Nero","$26.00"
"Bendigo (VIC)","Race 11","3","","ROSCOE BALE (4)","Skye Webb","24.09","3.56","6.64","M544","30.1kg","Allen Deed","Wanna Allen","$5.50"
"Bendigo (VIC)","Race 11","4","","SHIMA STRIPE (2)","Billy Galea","24.13","4.13","6.66","M633","31.2kg","Shima Shine","Swift Current","$7.00"
"Bendigo (VIC)","Race 11","5","","NICKLEBY ACTION (1)","Julie Hall","24.25","5.80","6.64","M465","35.4kg","Feral Franky","Nicko Dancer","$41.00"
"Bendigo (VIC)","Race 11","6","","ANGRY CHIEF (5)","Stephen Brincat","24.26","5.90","6.58","M257","32.0kg","Aston Rupee","Emmy's Shark","$21.00"
"Bendigo (VIC)","Race 11","7","","PAW KRAMER (3)","Samantha Grenfell","24.37","7.47","6.71","M776","30.7kg","Fernando Bale","Xamira Bale","$4.40"
"Bendigo (VIC)","Race 11","SCR","","HIGHER FORCE","Aaron Debattista","","","","","","Feral Franky","Xtreme Notice",""
"Bendigo (VIC)","Race 11","SCR","","COCONUT OAKLAND","Paul Gabriel","","","","","","Sennachie","Foxy Whip",""
"Bendigo (VIC)","Race 11","SCR","","DAINTREE SPIRIT","Paul Jones","","","","","","Bernardo","Chunk Of Love",""
"Bendigo (VIC)","Race 12","1","","DUNACH FIREBALL (1)","Ian Robinson","23.88","0.00","","","31.3kg","Whiskey Riot","Alcyone","$3.20"
"Bendigo (VIC)","Race 12","2","","MIA COCO (6)","Gregory McRae","24.02","2.01","","","31.4kg","Beast Unleashed","Spun Out","$10.00"
"Bendigo (VIC)","Race 12","3","","DON'T TELL SHELL (5)","Michael Chilcott","24.09","2.94","","","28.9kg","Fabregas","Elsa Rose","$5.00"
"Bendigo (VIC)","Race 12","4","","RAPIDFIRE MORRIS (2)","Josh Duncan","24.23","4.97","","","35.8kg","Fabregas","Wynburn Lucifer","$6.50"
"Bendigo (VIC)","Race 12","5","","SINGLE FLICKER (3)","Carol Jackson","24.34","6.60","","","36.5kg","Hard Style Rico","Faun Flame","$15.00"
