"track","raceNumber","runnerName","betType","bet365","ubet","tabtouch","betr","boombet","sportsbet","betfair_back","betfair_lay","picketbet","ladbrokes","pointsbet","neds","colossal"
"Sale","R10","6 Junior's Mate (6)","Win",3.8,3.5,3.6,3.5,3.65,3.6,3.4,1000,3.4,3.6,3.6,3.6,3.2
"Sale","R10","7 Imposter (7)","Win",5.5,5,5.5,5,5.6,5.5,4.8,1000,5,5.5,5.5,5.5,4.6
"Sale","R10","8 Is He Happy (8)","Win",9,8.5,8.5,8.5,8.6,8.5,8.2,1000,8,8.5,8.5,8.5,7.5
"Sale","R10","1 Inter Cyborg (1)","Place",3.25,3.1,3.4,3,3.45,3,2.6,3.1,3.3,3.1,2.5,"-","-"
"Sale","R10","2 Once More (2)","Place",1.95,1.9,1.95,1.8,1.92,1.8,1.6,1.8,1.9,1.8,1.7,"-","-"
"Sale","R10","3 Saxon Kelton (3)","Place",2.55,2.4,2.45,2.3,2.55,2.5,2.1,2.4,2.35,2.4,2,"-","-"
"Sale","R10","4 Search History (4)","Place",2.85,2.5,2.7,2.4,2.75,2.5,2.2,2.6,2.6,2.6,2.1,"-","-"
"Sale","R10","5 Need A Pilot (5)","Place",1.55,1.5,1.38,1.32,1.32,1.4,1.27,1.45,1.35,1.45,1.45,"-","-"
"Sale","R10","6 Junior's Mate (6)","Place",1.55,1.5,1.45,1.32,1.32,1.4,1.27,1.45,1.37,1.45,1.4,"-","-"
"Sale","R10","7 Imposter (7)","Place",1.95,1.75,2,1.65,1.58,1.75,1.5,1.8,1.9,1.8,1.6,"-","-"
"Sale","R10","8 Is He Happy (8)","Place",2.85,2.3,2.45,2.25,2.45,2.4,1.95,2.3,2.4,2.3,2,"-","-"
"Sale","R11","1 Dermott Rose (1)","Win",3.6,3.3,3.4,3.3,3.45,3.4,3.2,1000,3.25,3.4,3.4,3.4,3
"Sale","R11","2 Jairon Bale (2)","Win",16,14,15,14,15.2,15,13,1000,15,15,15,15,13
"Sale","R11","3 King Cherry (3)","Win",3.5,3.4,3.6,3.5,3.65,3.6,3.35,1000,3.4,3.5,3.5,3.5,3.1
"Sale","R11","4 Mick Says So (4)","Win",15,13,14,13,11.4,14,12,1000,13,14,13,14,12
"Sale","R11","5 Hay Riley (5)","Win",5.5,5.5,5,5.5,4.45,5.5,5.3,1000,4.8,4.6,5,4.6,4.8
"Sale","R11","6 Paw Judd (6)","Win",13,14,13,13,14.2,12,9.6,1000,13,13,13,13,12
"Sale","R11","7 Jumbuk Gerhard (7)","Win",6.5,6,6.5,6,6.6,6.5,5.8,1000,6,6.5,6.5,6.5,5.75
"Sale","R11","8 Redgum Wars (8)","Win",5,5,5.5,5,4.65,5.5,4.8,1000,5,5.5,5,5.5,4.8
"Sale","R11","1 Dermott Rose (1)","Place",1.55,1.45,1.36,1.27,1.41,1.4,1.23,1.4,1.35,1.4,1.33,"-","-"
"Sale","R11","2 Jairon Bale (2)","Place",3.7,3,3.4,2.9,3.45,3.25,2.75,3.3,3.3,3.3,2.45,"-","-"
"Sale","R11","3 King Cherry (3)","Place",1.5,1.45,1.38,1.32,1.46,1.5,1.25,1.45,1.35,1.45,1.35,"-","-"
"Sale","R11","4 Mick Says So (4)","Place",3.6,2.9,3.3,2.9,2.7,2.8,2.6,3.1,3.1,3.1,2.4,"-","-"
"Sale","R11","5 Hay Riley (5)","Place",1.9,1.8,1.75,1.75,1.7,1.67,1.5,1.65,1.75,1.65,1.65,"-","-"
"Sale","R11","6 Paw Judd (6)","Place",3.25,3,3.3,2.9,3.25,3,2.6,3,3.1,3,2.4,"-","-"
"Sale","R11","7 Jumbuk Gerhard (7)","Place",2.1,1.9,2.15,1.85,2.05,1.91,1.65,1.95,2.1,1.95,1.75,"-","-"
"Sale","R11","8 Redgum Wars (8)","Place",1.8,1.75,1.95,1.6,1.56,1.8,1.55,1.8,1.75,1.8,1.6,"-","-"
"Sale","R12","1 Promises To Be (1)","Win",5.5,5.5,5.5,5.5,5.6,5.5,4.8,1000,5.25,5.5,5.5,5.5,5
"Sale","R12","2 Frisco Joe (2)","Win",11,12,13,12,13.2,13,11,1000,12,13,13,13,11
"Sale","R12","3 Mr. Wallace (3)","Win",34,31,34,29,35,34,18.5,1000,31,34,34,34,31
"Sale","R12","4 Computer Model (4)","Win",4.8,4.2,4.2,4.2,4.25,4,3.9,1000,4,4.2,4.2,4.2,3.7
"Sale","R12","5 Snitch Adams (5)","Win",5.5,5,5,5,5.1,4.8,4.7,1000,4.8,5,5,5,4.4
"Sale","R12","6 Betsie Bale (6)","Win",19,18,19,18,19.2,19,14.5,1000,17,19,19,19,17
"Sale","R12","7 Fabio Giblet (7)","Win",5,5,5,5,5.1,5,4.8,1000,4.8,5,5,5,4.6
"Sale","R12","8 Whatever George (8)","Win",2.9,2.7,2.8,2.75,2.35,2.8,2.68,11,2.6,2.8,2.65,2.8,2.5
"Sale","R12","1 Promises To Be (1)","Place",1.85,1.75,1.85,1.7,1.76,1.73,1.5,1.7,1.8,1.7,1.65,"-","-"
"Sale","R12","2 Frisco Joe (2)","Place",2.95,2.6,3.2,2.7,3.05,3.3,2.3,2.8,3,2.8,2.2,"-","-"
"Sale","R12","3 Mr. Wallace (3)","Place",5.5,4.8,5,4.2,5.1,6.5,4.2,5,4.8,5,3.5,"-","-"
